"Verb"|"Root"|"VerbOld"|"RootOld"|"Form"|"Frequency"|"Translation"|"Nederlands"|"Turks"|"NL"|"TR"
"أُغْشِيَتْ"|"غ ش و"|"أُغْشِيَتْ"|"غ ش و"|"IV"|"4"|"to cover"|"bedekken"|"kaplamak örtmek"|"NL"|"TR"
"تَغَشَّىٰ"|"غ ش و"|"تَغَشَّىٰ"|"غ ش و"|"V"|"1"|"to cover"|"bedekken"|"kaplamak örtmek"|"NL"|"TR"
"ٱسْتَغْشَ"|"غ ش و"|"ٱسْتَغْشَ"|"غ ش و"|"X"|"2"|"to cover"|"bedekken"|"kaplamak örtmek"|"NL"|"TR"
"غَضِبَ"|"غ ض ب"|"غَضِبَ"|"غ ض ب"|"I"|"6"|"to be angry"|"boos zijn"|"kızgın olmak"|"NL"|"TR"
"يَغُضُّ"|"غ ض ض"|"يَغُضُّ"|"غ ض ض"|"I"|"4"|"to lower"|"verlagen"|"daha düşük seviyeye indirmek"|"NL"|"TR"
"أَغْطَشَ"|"غ ط ش"|"أَغْطَشَ"|"غ ط ش"|"IV"|"1"|"to darken"|"verduisteren"|"karartmak"|"NL"|"TR"
"غَفَرَ"|"غ ف ر"|"غَفَرَ"|"غ ف ر"|"I"|"65"|"to forgive"|"vergeven"|"affetmek"|"NL"|"TR"
"ٱسْتَغْفَرَ"|"غ ف ر"|"ٱسْتَغْفَرَ"|"غ ف ر"|"X"|"40"|"to ask forgiveness"|"vergeving vragen"|"mağfiret istemek"|"NL"|"TR"
"تَغْفُلُ"|"غ ف ل"|"تَغْفُلُ"|"غ ف ل"|"I"|"1"|"to neglect"|"verwaarlozen"|"ihmal etmek"|"NL"|"TR"
"أَغْفَلْ"|"غ ف ل"|"أَغْفَلْ"|"غ ف ل"|"IV"|"1"|"to make heedless"|"achteloos maken"|"gaflet yapmak"|"NL"|"TR"
"غَلَبُ"|"غ ل ب"|"غَلَبُ"|"غ ل ب"|"I"|"15"|"to overcome, to defeat"|"overwinnen, verslaan"|"üstesinden gelmek, yenmek"|"NL"|"TR"
"ٱغْلُظْ"|"غ ل ظ"|"ٱغْلُظْ"|"غ ل ظ"|"I"|"2"|"to be stern"|"achtersteven zijn"|"kıç olmak"|"NL"|"TR"
"ٱسْتَغْلَظَ"|"غ ل ظ"|"ٱسْتَغْلَظَ"|"غ ل ظ"|"X"|"1"|"to become thick"|"dik geworden"|"kalın olmak"|"NL"|"TR"
"غَلَّقَتِ"|"غ ل ق"|"غَلَّقَتِ"|"غ ل ق"|"II"|"1"|"to close"|"sluiten"|"kapatmak"|"NL"|"TR"
"غَلَّ"|"غ ل ل"|"غَلَّ"|"غ ل ل"|"I"|"5"|"to defraud, to chain, to shackle"|"frauderen, ketenen, ketenen"|"dolandırmak, zincirlemek, zincirlemek"|"NL"|"TR"
"تَغْلُو"|"غ ل و"|"تَغْلُو"|"غ ل و"|"I"|"2"|"to exceed"|"overschrijden"|"aşmak"|"NL"|"TR"
"يَغْلِى"|"غ ل ي"|"يَغْلِى"|"غ ل ي"|"I"|"1"|"to boil"|"koken"|"kaynamak"|"NL"|"TR"
"يَتَغَامَزُ"|"غ م ز"|"يَتَغَامَزُ"|"غ م ز"|"VI"|"1"|"to wink"|"knipogen"|"gözlerini kırpmak"|"NL"|"TR"
"تُغْمِضُ"|"غ م ض"|"تُغْمِضُ"|"غ م ض"|"IV"|"1"|"to close"|"sluiten"|"kapatmak"|"NL"|"TR"
"غَنِمْ"|"غ ن م"|"غَنِمْ"|"غ ن م"|"I"|"2"|"to take as war booty"|"nemen als oorlogsbuit"|"savaş ganimeti olarak almak"|"NL"|"TR"
"أَغْنَىٰ"|"غ ن ي"|"أَغْنَىٰ"|"غ ن ي"|"I"|"15"|"to avail, to prosper"|"baten, bloeien"|"yaramak, iyi gitmek başarılı olmak"|"NL"|"TR"
"أَغْنَتْ"|"غ ن ي"|"أَغْنَتْ"|"غ ن ي"|"IV"|"28"|"to avail, to enrich"|"baten, verrijken"|"yaramak, zenginleştirmek"|"NL"|"TR"
"ٱسْتَغْنَىٰ"|"غ ن ي"|"ٱسْتَغْنَىٰ"|"غ ن ي"|"X"|"4"|"to be self-sufficient"|"zelfvoorzienend zijn"|"kendine yeterli olmak"|"NL"|"TR"
"يُغَاثُ"|"غ و ث"|"يُغَاثُ"|"غ و ث"|"IV"|"1"|"to be relieved"|"opgelucht zijn"|"rahatlamak"|"NL"|"TR"
"ٱسْتَغَٰثَ"|"غ و ث"|"ٱسْتَغَٰثَ"|"غ و ث"|"X"|"4"|"to seek help"|"hulp zoeken"|"yardım istemek"|"NL"|"TR"
"يَغُوصُ"|"غ و ص"|"يَغُوصُ"|"غ و ص"|"I"|"1"|"to dive"|"duiken"|"dalmak"|"NL"|"TR"
"غَوَىٰ"|"غ و ي"|"غَوَىٰ"|"غ و ي"|"I"|"3"|"to err, to go astray"|"dwalen, dwalen"|"hata yapmak, yoldan çıkmak"|"NL"|"TR"
"أَغْوَيْ"|"غ و ي"|"أَغْوَيْ"|"غ و ي"|"IV"|"8"|"to mislead, to lead astray"|"misleiden, op een dwaalspoor brengen"|"yanıltmak, yoldan saptırmak"|"NL"|"TR"
"يَغْتَب"|"غ ي ب"|"يَغْتَب"|"غ ي ب"|"VIII"|"1"|"to backbite"|"roddelen"|"çekiştirmek/arkasından konuşmak"|"NL"|"TR"
"يُغَاثُ"|"غ ي ث"|"يُغَاثُ"|"غ ي ث"|"IV"|"1"|"to be given rain"|"regen gegeven worden"|"yağmur verilmek"|"NL"|"TR"
"يُغَيِّرُ"|"غ ي ر"|"يُغَيِّرُ"|"غ ي ر"|"II"|"4"|"to change"|"veranderen"|"değişmek"|"NL"|"TR"
"يَتَغَيَّرْ"|"غ ي ر"|"يَتَغَيَّرْ"|"غ ي ر"|"V"|"1"|"to change"|"veranderen"|"değişmek"|"NL"|"TR"
"غِيضَ"|"غ ي ض"|"غِيضَ"|"غ ي ض"|"I"|"2"|"to subside, to fall short"|"afnemen, te kort schieten"|"yatışmak, kısa düşmek"|"NL"|"TR"
"يَغِيظُ"|"غ ي ظ"|"يَغِيظُ"|"غ ي ظ"|"I"|"3"|"to anger, to enrage"|"boos maken, woedend maken"|"öfkelendirmek, kızdırmak"|"NL"|"TR"
"تَفْتَؤُا۟"|"ف ت ا"|"تَفْتَؤُا۟"|"ف ت ا"|"I"|"1"|"to cease"|"ophouden"|"durdurmak"|"NL"|"TR"
"فَتَحَ"|"ف ت ح"|"فَتَحَ"|"ف ت ح"|"I"|"16"|"to open, to give victory"|"openen, naar de overwinning geven"|"açmak, zafer vermek"|"NL"|"TR"
"تُفَتَّحُ"|"ف ت ح"|"تُفَتَّحُ"|"ف ت ح"|"II"|"1"|"to open"|"openen"|"açmak"|"NL"|"TR"
"ٱسْتَفْتَحُ"|"ف ت ح"|"ٱسْتَفْتَحُ"|"ف ت ح"|"X"|"3"|"to seek victory"|"naar de overwinning zoeken"|"zafer istemek"|"NL"|"TR"
"يَفْتُرُ"|"ف ت ر"|"يَفْتُرُ"|"ف ت ر"|"I"|"1"|"to invent"|"uitvinden"|"icat etmek"|"NL"|"TR"
"يُفَتَّرُ"|"ف ت ر"|"يُفَتَّرُ"|"ف ت ر"|"II"|"1"|"to subside"|"afnemen"|"yatışmak"|"NL"|"TR"
"فَتَقْ"|"ف ت ق"|"فَتَقْ"|"ف ت ق"|"I"|"1"|"to part"|"scheiden"|"ayırmak"|"NL"|"TR"
"فَتَنُ"|"ف ت ن"|"فَتَنُ"|"ف ت ن"|"I"|"23"|"to persecute, to test, to try"|"vervolgen, testen, proberen"|"zulmetmek, test etmek, denemek"|"NL"|"TR"
"يُفْتِي"|"ف ت ي"|"يُفْتِي"|"ف ت ي"|"IV"|"5"|"to give ruling, to explain, to advise"|"uitspraak geven, uitleggen, adviseren"|"iktidar vermek, açıklamak, tavsiye etmek"|"NL"|"TR"
"يَسْتَفْتُ"|"ف ت ي"|"يَسْتَفْتُ"|"ف ت ي"|"X"|"6"|"to seek ruling, to inquire, to ask"|"regerende willen, onderzoeken, vragen"|"iktidar istemek, bilgi almak, sormak"|"NL"|"TR"
"يَفْجُرَ"|"ف ج ر"|"يَفْجُرَ"|"ف ج ر"|"I"|"2"|"to give lie"|"leugen geven"|"yalan vermek"|"NL"|"TR"
"فُجِّرَتْ"|"ف ج ر"|"فُجِّرَتْ"|"ف ج ر"|"II"|"6"|"to cause gush"|"opwelling veroorzaken"|"coşmak"|"NL"|"TR"
"يَتَفَجَّرُ"|"ف ج ر"|"يَتَفَجَّرُ"|"ف ج ر"|"V"|"1"|"to gush forth"|"ontspringen"|"ileri fışkırırmak"|"NL"|"TR"
"ٱنفَجَرَتْ"|"ف ج ر"|"ٱنفَجَرَتْ"|"ف ج ر"|"VII"|"1"|"to gush forth"|"ontspringen"|"ileri fışkırırmak"|"NL"|"TR"
"فَدَيْ"|"ف د ي"|"فَدَيْ"|"ف د ي"|"I"|"1"|"to ransom"|"losgeld geven"|"Fidye verip kurtarmak"|"NL"|"TR"
"تُفَٰدُ"|"ف د ي"|"تُفَٰدُ"|"ف د ي"|"III"|"1"|"to ransom"|"losgeld geven"|"Fidye kurtarmak"|"NL"|"TR"
"ٱفْتَدَىٰ"|"ف د ي"|"ٱفْتَدَىٰ"|"ف د ي"|"VIII"|"7"|"to offer ransom"|"losgeld bieden"|"fidyeyi sunmak"|"NL"|"TR"
"فُرِجَتْ"|"ف ر ج"|"فُرِجَتْ"|"ف ر ج"|"I"|"1"|"to be cleft asunder"|"opengespleten zijn"|"parça parça yarılmış olmak"|"NL"|"TR"
"فَرِحَ"|"ف ر ح"|"فَرِحَ"|"ف ر ح"|"I"|"16"|"to rejoice"|"zich verheugen"|"sevinmek"|"NL"|"TR"
"فَرَّتْ"|"ف ر ر"|"فَرَّتْ"|"ف ر ر"|"I"|"6"|"to flee"|"vluchten"|"kaçmak"|"NL"|"TR"
"فَرَشْ"|"ف ر ش"|"فَرَشْ"|"ف ر ش"|"I"|"1"|"to spread"|"spreiden"|"yaymak"|"NL"|"TR"
"فَرَضَ"|"ف ر ض"|"فَرَضَ"|"ف ر ض"|"I"|"9"|"to specify, to ordain, to make obligatory"|"aangeven, bepalen, verbindend verklaren"|"belirtmek, buyurmak, zorunlu hale getirmek"|"NL"|"TR"
"يَفْرُطَ"|"ف ر ط"|"يَفْرُطَ"|"ف ر ط"|"I"|"1"|"to hasten"|"verhaasten"|"acele etmek"|"NL"|"TR"
"فَرَّط"|"ف ر ط"|"فَرَّط"|"ف ر ط"|"II"|"5"|"to neglect, to fail"|"verwaarlozen, mislukken"|"ihmal etmek, başarısız olmak"|"NL"|"TR"
"فَرَغْ"|"ف ر غ"|"فَرَغْ"|"ف ر غ"|"I"|"2"|"to finish"|"eindigen"|"bitirmek"|"NL"|"TR"
"أَفْرِغْ"|"ف ر غ"|"أَفْرِغْ"|"ف ر غ"|"IV"|"3"|"to pour"|"gieten"|"dökmek"|"NL"|"TR"
"فَرَقْ"|"ف ر ق"|"فَرَقْ"|"ف ر ق"|"I"|"5"|"to divide"|"verdelen"|"bölmek"|"NL"|"TR"
"فَرَّقُ"|"ف ر ق"|"فَرَّقُ"|"ف ر ق"|"II"|"9"|"to differentiate, to make distinction"|"differentiëren, onderscheid maken"|"ayrım yapmak, ayrım yapmak"|"NL"|"TR"
"فَارِقُ"|"ف ر ق"|"فَارِقُ"|"ف ر ق"|"III"|"1"|"to part"|"scheiden"|"ayırmak"|"NL"|"TR"
"تَفَرَّقَ"|"ف ر ق"|"تَفَرَّقَ"|"ف ر ق"|"V"|"8"|"to be divided"|"verdeld zijn"|"bölünmüş olmak"|"NL"|"TR"
"يَفْتَرِي"|"ف ر ي"|"يَفْتَرِي"|"ف ر ي"|"I"|"1"|"to invent"|"uitvinden"|"icat etmek"|"NL"|"TR"
"ٱفْتَرَىٰ"|"ف ر ي"|"ٱفْتَرَىٰ"|"ف ر ي"|"VIII"|"50"|"to invent"|"uitvinden"|"icat etmek"|"NL"|"TR"
"يَسْتَفِزَّ"|"ف ز ز"|"يَسْتَفِزَّ"|"ف ز ز"|"X"|"3"|"to incite, to scare, to drive out"|"aanzetten, afschriken, verdrijven"|"tahrik etmek, korkutmak, çıkarmak"|"NL"|"TR"
"فَزِعَ"|"ف ز ع"|"فَزِعَ"|"ف ز ع"|"I"|"3"|"to be terrified, to be afraid"|"doodsbang te zijn, bang zijn"|"dehşete düşmek, korkmak"|"NL"|"TR"
"فُزِّعَ"|"ف ز ع"|"فُزِّعَ"|"ف ز ع"|"II"|"1"|"to remove fear"|"angst verwijderen"|"korkuyu kaldırmak"|"NL"|"TR"
"يَفْسَحِ"|"ف س ح"|"يَفْسَحِ"|"ف س ح"|"I"|"2"|"to make room"|"ruimte maken"|"yer açmak"|"NL"|"TR"
"تَفَسَّحُ"|"ف س ح"|"تَفَسَّحُ"|"ف س ح"|"V"|"1"|"to make room"|"ruimte maken"|"yer açmak"|"NL"|"TR"
"فَسَدَتِ"|"ف س د"|"فَسَدَتِ"|"ف س د"|"I"|"3"|"to be corrupted, to be ruined"|"beschadigd zijn, geruïneerd zijn"|"bozulmuş olmak, harap olmak"|"NL"|"TR"
"أَفْسَدُ"|"ف س د"|"أَفْسَدُ"|"ف س د"|"IV"|"15"|"to cause corruption"|"corruptie veroorzaken"|"bozulmasına neden olmak"|"NL"|"TR"
"فَسَقَ"|"ف س ق"|"فَسَقَ"|"ف س ق"|"I"|"10"|"to disobey defiantly"|"uitdagend ongehoorzaam zijn"|"meydan okurcasına uymamak"|"NL"|"TR"
"فَشِلْ"|"ف ش ل"|"فَشِلْ"|"ف ش ل"|"I"|"4"|"to lose courage"|"de moed verliezen"|"cesaretini kaybetmek"|"NL"|"TR"
"فَصَلَ"|"ف ص ل"|"فَصَلَ"|"ف ص ل"|"I"|"5"|"to set out, to depart, to judge"|"uiteen zetten, vertrekken, oordelen"|"yola çıkmak, ayrılmak, yargılamak"|"NL"|"TR"
"فَصَّلَ"|"ف ص ل"|"فَصَّلَ"|"ف ص ل"|"II"|"17"|"to make clear, to explain in detail"|"duidelijk maken, uitleggen in detail"|"açık hale getirmek için, ayrıntılı olarak açıklamak"|"NL"|"TR"
"تَفْضَحُ"|"ف ض ح"|"تَفْضَحُ"|"ف ض ح"|"I"|"1"|"to shame"|"schamen"|"utanmak"|"NL"|"TR"
"ٱنفَضُّ"|"ف ض ض"|"ٱنفَضُّ"|"ف ض ض"|"VII"|"3"|"to rush, to disperse"|"haasten, verspreiden"|"acele etmek, dağıtmak"|"NL"|"TR"
"فَضَّلَ"|"ف ض ل"|"فَضَّلَ"|"ف ض ل"|"II"|"17"|"to bestow, to prefer, to favor"|"schenken, de voorkeur geven, bevoordelen"|"ihsan etmek, tercih etmek, kayırmak"|"NL"|"TR"
"يَتَفَضَّلَ"|"ف ض ل"|"يَتَفَضَّلَ"|"ف ض ل"|"V"|"1"|"to assert superiority"|"superioriteit beweren"|"üstünlük iddia etmek"|"NL"|"TR"
"أَفْضَىٰ"|"ف ض و"|"أَفْضَىٰ"|"ف ض و"|"IV"|"1"|"to go"|"gaan"|"gitmek"|"NL"|"TR"
"فَطَرَ"|"ف ط ر"|"فَطَرَ"|"ف ط ر"|"I"|"10"|"to create"|"maken"|"oluşturmak"|"NL"|"TR"
"ٱنفَطَرَتْ"|"ف ط ر"|"ٱنفَطَرَتْ"|"ف ط ر"|"VII"|"1"|"to be cleft asunder"|"opengespleten zijn"|"parça parça yarılmış olmak"|"NL"|"TR"
"فَعَلَ"|"ف ع ل"|"فَعَلَ"|"ف ع ل"|"I"|"88"|"to do"|"doen"|"yapmak"|"NL"|"TR"
"تَفْقِدُ"|"ف ق د"|"تَفْقِدُ"|"ف ق د"|"I"|"2"|"to miss"|"missen"|"kaçırmak"|"NL"|"TR"
"تَفَقَّدَ"|"ف ق د"|"تَفَقَّدَ"|"ف ق د"|"V"|"1"|"to inspect"|"inspecteren"|"incelemek"|"NL"|"TR"
"يَفْقَهُ"|"ف ق ه"|"يَفْقَهُ"|"ف ق ه"|"I"|"19"|"to understand"|"begrijpen"|"anlamak"|"NL"|"TR"
"يَتَفَقَّهُ"|"ف ق ه"|"يَتَفَقَّهُ"|"ف ق ه"|"V"|"1"|"to obtain understanding"|"inzicht verkrijgen"|"anlayış elde etmek"|"NL"|"TR"
"فَكَّرَ"|"ف ك ر"|"فَكَّرَ"|"ف ك ر"|"II"|"1"|"to think"|"denken"|"düşünmek"|"NL"|"TR"
"يَتَفَكَّرُ"|"ف ك ر"|"يَتَفَكَّرُ"|"ف ك ر"|"V"|"17"|"to ponder, to reflect"|"nadenken, reflecteren"|"düşünmek, yansıtmak"|"NL"|"TR"
"تَفَكَّهُ"|"ف ك ه"|"تَفَكَّهُ"|"ف ك ه"|"V"|"1"|"to wonder"|"afvragen"|"merak etmek"|"NL"|"TR"
"أَفْلَحَ"|"ف ل ح"|"أَفْلَحَ"|"ف ل ح"|"IV"|"27"|"to succeed"|"slagen"|"başarılı olmak"|"NL"|"TR"
"ٱنفَلَقَ"|"ف ل ق"|"ٱنفَلَقَ"|"ف ل ق"|"VII"|"1"|"to part"|"scheiden"|"ayırmak"|"NL"|"TR"
"تُفَنِّدُ"|"ف ن د"|"تُفَنِّدُ"|"ف ن د"|"II"|"1"|"to weaken in mind"|"verzwakken in het achterhoofd"|"Akılda zayıflamaya"|"NL"|"TR"
"فَهَّمْ"|"ف ه م"|"فَهَّمْ"|"ف ه م"|"II"|"1"|"to give understanding"|"inzicht geven"|"anlayış vermek"|"NL"|"TR"
"فَاتَ"|"ف و ت"|"فَاتَ"|"ف و ت"|"I"|"3"|"to escape"|"ontsnappen"|"kaçmak"|"NL"|"TR"
"فَارَ"|"ف و ر"|"فَارَ"|"ف و ر"|"I"|"3"|"to overflow, to gush forth, to boil up"|"overstromen, ontspringen, opkoken"|"taşma, ileri fışkırırmak, coşmak/fokurdamak"|"NL"|"TR"
"فَازَ"|"ف و ز"|"فَازَ"|"ف و ز"|"I"|"3"|"to be successful, to attain"|"succesvol zijn, bereiken"|"başarılı olmak, elde etmek"|"NL"|"TR"
"أُفَوِّضُ"|"ف و ض"|"أُفَوِّضُ"|"ف و ض"|"II"|"1"|"to entrust"|"toe vertrouwen"|"emanet etmek"|"NL"|"TR"
"أَفَاقَ"|"ف و ق"|"أَفَاقَ"|"ف و ق"|"IV"|"1"|"to recover"|"herstellen"|"düzelmek"|"NL"|"TR"
"فَآءُ"|"ف ي ا"|"فَآءُ"|"ف ي ا"|"I"|"3"|"to return"|"terugkeren"|"geri dönmek"|"NL"|"TR"
"أَفَآءَ"|"ف ي ا"|"أَفَآءَ"|"ف ي ا"|"IV"|"3"|"to give, to restore"|"geven, herstellen"|"vermek, geri getirmek"|"NL"|"TR"
"يَتَفَيَّؤُا۟"|"ف ي ا"|"يَتَفَيَّؤُا۟"|"ف ي ا"|"V"|"1"|"to incline"|"neigen"|"meyletmek"|"NL"|"TR"
"تَفِيضُ"|"ف ي ض"|"تَفِيضُ"|"ف ي ض"|"I"|"2"|"to overflow"|"overlopen"|"taşmak"|"NL"|"TR"
"أَفَاضَ"|"ف ي ض"|"أَفَاضَ"|"ف ي ض"|"IV"|"7"|"to depart"|"vertrekken"|"ayrılmak"|"NL"|"TR"
"أَقْبَرَ"|"ق ب ر"|"أَقْبَرَ"|"ق ب ر"|"IV"|"1"|"to provide a grave"|"een ​​graf bieden"|"Bir mezar sağlamak"|"NL"|"TR"
"نَقْتَبِسْ"|"ق ب س"|"نَقْتَبِسْ"|"ق ب س"|"VIII"|"1"|"to acquire"|"verwerven"|"elde etmek"|"NL"|"TR"
"قَبَضْ"|"ق ب ض"|"قَبَضْ"|"ق ب ض"|"I"|"5"|"to withhold, to withdraw, to close"|"achterhouden, terugtrekken, sluiten"|"vermemek, geri çekmek, kapatmak"|"NL"|"TR"
"يَقْبَلُ"|"ق ب ل"|"يَقْبَلُ"|"ق ب ل"|"I"|"9"|"to accept"|"accepteren"|"kabul etmek"|"NL"|"TR"
"أَقْبَلَ"|"ق ب ل"|"أَقْبَلَ"|"ق ب ل"|"IV"|"9"|"to approach"|"benaderen"|"yaklaşmak"|"NL"|"TR"
"تَقَبَّلَ"|"ق ب ل"|"تَقَبَّلَ"|"ق ب ل"|"V"|"10"|"to accept"|"accepteren"|"kabul etek"|"NL"|"TR"
"يَقْتُرُ"|"ق ت ر"|"يَقْتُرُ"|"ق ت ر"|"I"|"1"|"to be stingy"|"gierig zijn"|"Cimri olmak"|"NL"|"TR"
"قَتَلَ"|"ق ت ل"|"قَتَلَ"|"ق ت ل"|"I"|"83"|"to kill"|"vermoorden"|"öldürmek"|"NL"|"TR"
"قُتِّلُ"|"ق ت ل"|"قُتِّلُ"|"ق ت ل"|"II"|"4"|"to kill"|"vermoorden"|"öldürmek"|"NL"|"TR"
"قَٰتَلَ"|"ق ت ل"|"قَٰتَلَ"|"ق ت ل"|"III"|"54"|"to fight"|"vechten"|"dövüşmek"|"NL"|"TR"
"ٱقْتَتَلَ"|"ق ت ل"|"ٱقْتَتَلَ"|"ق ت ل"|"VIII"|"4"|"to fight"|"vechten"|"dövüşmek"|"NL"|"TR"
"ٱقْتَحَمَ"|"ق ح م"|"ٱقْتَحَمَ"|"ق ح م"|"VIII"|"1"|"to attempt"|"proberen"|"denemek/girişimde bulunmak"|"NL"|"TR"
"قُدَّ"|"ق د د"|"قُدَّ"|"ق د د"|"I"|"4"|"to tear"|"scheuren"|"yırtmak"|"NL"|"TR"
"قَدَرَ"|"ق د ر"|"قَدَرَ"|"ق د ر"|"I"|"25"|"to restrict, to control, to have power"|"beperken, controleren, de macht hebben"|"kısıtlamak, kontrol etmek, güce sahip olmak"|"NL"|"TR"
"قَدَّرَ"|"ق د ر"|"قَدَّرَ"|"ق د ر"|"II"|"16"|"to determine, to plot"|"vaststellen, plotten"|"belirlemek, çizmek"|"NL"|"TR"
"نُقَدِّسُ"|"ق د س"|"نُقَدِّسُ"|"ق د س"|"II"|"1"|"to sanctify"|"heilig maken"|"kutsamak/kutsallaştırmak"|"NL"|"TR"
"قَدِمْ"|"ق د م"|"قَدِمْ"|"ق د م"|"I"|"2"|"to precede, to proceed"|"voorafgaan, verder gaan"|"önce gelmek, devam etmek"|"NL"|"TR"
"قَدَّمَ"|"ق د م"|"قَدَّمَ"|"ق د م"|"II"|"27"|"to send forth, to offer"|"uitzenden, aanbieden"|"ileri göndermek, sunmak"|"NL"|"TR"
"تَقَدَّمَ"|"ق د م"|"تَقَدَّمَ"|"ق د م"|"V"|"2"|"to precede, to proceed"|"voorafgaan, verder gaan"|"önce gelmek, devam etmek"|"NL"|"TR"
"يَسْتَقْدِمُ"|"ق د م"|"يَسْتَقْدِمُ"|"ق د م"|"X"|"4"|"to advance, to precede"|"doorgaan, voorafgaan"|"ilerlemek, önce gelmek"|"NL"|"TR"
"ٱقْتَدِهْ"|"ق د و"|"ٱقْتَدِهْ"|"ق د و"|"VIII"|"1"|"to follow"|"volgen"|"izlemek"|"NL"|"TR"
"قَذَفَ"|"ق ذ ف"|"قَذَفَ"|"ق ذ ف"|"I"|"9"|"to cast, to throw, to hurl"|"werpen, gooien, smijten"|"atmak, atmak, savurmak"|"NL"|"TR"
"قَرَأَ"|"ق ر ا"|"قَرَأَ"|"ق ر ا"|"I"|"16"|"to read, to recite"|"lezen, reciteren"|"okumak, ezberden okumak"|"NL"|"TR"
"نُقْرِئُ"|"ق ر ا"|"نُقْرِئُ"|"ق ر ا"|"IV"|"1"|"to make recite"|"te reciteren maken"|"ezberden okuma yapmak"|"NL"|"TR"
"يَقْرَبُ"|"ق ر ب"|"يَقْرَبُ"|"ق ر ب"|"I"|"11"|"to approach, to go near"|"benaderen, om in de buurt te gaan"|"yaklaşım, yakın gitmek"|"NL"|"TR"
"قَرَّبَ"|"ق ر ب"|"قَرَّبَ"|"ق ر ب"|"II"|"5"|"to bring close"|"dichtbij brengen"|"yakına getirmek"|"NL"|"TR"
"ٱقْتَرَبَ"|"ق ر ب"|"ٱقْتَرَبَ"|"ق ر ب"|"VIII"|"5"|"to approach, to go near"|"benaderen, om in de buurt te gaan"|"yaklaşım, yakın gitmek"|"NL"|"TR"
"تَقَرَّ"|"ق ر ر"|"تَقَرَّ"|"ق ر ر"|"I"|"5"|"to cool, to comfort"|"afkoelen, troosten"|"soğumaya, rahatlatmak/tesseli etmek"|"NL"|"TR"
"أَقْرَرْ"|"ق ر ر"|"أَقْرَرْ"|"ق ر ر"|"IV"|"4"|"to ratify, to affirm"|"bekrachtigen, bevestigen"|"onaylamak, teyit etmek"|"NL"|"TR"
"ٱسْتَقَرَّ"|"ق ر ر"|"ٱسْتَقَرَّ"|"ق ر ر"|"X"|"1"|"to remain"|"blijven"|"kalmak"|"NL"|"TR"
"تَّقْرِضُ"|"ق ر ض"|"تَّقْرِضُ"|"ق ر ض"|"I"|"1"|"to pass"|"slagen"|"geçmek"|"NL"|"TR"
"أَقْرَضُ"|"ق ر ض"|"أَقْرَضُ"|"ق ر ض"|"IV"|"6"|"to lend, to loan"|"lenen, lenen"|"ödünç vermek, ödünç vermek"|"NL"|"TR"
"ٱقْتَرَفْ"|"ق ر ف"|"ٱقْتَرَفْ"|"ق ر ف"|"VIII"|"4"|"to commit, to acquire, to earn"|"plegen, verwerven, geld verdienen"|"işlemek, elde etmek için, kazanmak"|"NL"|"TR"
"تُقْسِطُ"|"ق س ط"|"تُقْسِطُ"|"ق س ط"|"IV"|"3"|"to be just"|"rechtwaardig zijn"|"adaletli olmak"|"NL"|"TR"
"قَسَمْ"|"ق س م"|"قَسَمْ"|"ق س م"|"I"|"2"|"to distribute"|"verdelen"|"dağıtmak"|"NL"|"TR"
"قَاسَمَ"|"ق س م"|"قَاسَمَ"|"ق س م"|"III"|"1"|"to swear"|"zweren"|"yemin etmek"|"NL"|"TR"
"أَقْسَمُ"|"ق س م"|"أَقْسَمُ"|"ق س م"|"IV"|"20"|"to swear"|"zweren"|"yemin etmek"|"NL"|"TR"
"تَقَاسَمُ"|"ق س م"|"تَقَاسَمُ"|"ق س م"|"VI"|"1"|"to distribute"|"verdelen"|"dağıtmak"|"NL"|"TR"
"تَسْتَقْسِمُ"|"ق س م"|"تَسْتَقْسِمُ"|"ق س م"|"X"|"1"|"to seek division"|"verdeeldheid zoeken"|"bölünme aramak/istemek"|"NL"|"TR"
"قَسَتْ"|"ق س و"|"قَسَتْ"|"ق س و"|"I"|"3"|"to harden"|"uitharden"|"sertleşmek"|"NL"|"TR"
"تَقْشَعِرُّ"|"ق ش ع ر"|"تَقْشَعِرُّ"|"ق ش ع ر"|"IV"|"1"|"to shiver"|"rillen"|"titremek"|"NL"|"TR"
"ٱقْصِدْ"|"ق ص د"|"ٱقْصِدْ"|"ق ص د"|"I"|"1"|"to be moderate"|"matig zijn"|"ılımlı olmak"|"NL"|"TR"
"تَقْصُرُ"|"ق ص ر"|"تَقْصُرُ"|"ق ص ر"|"I"|"1"|"to shorten"|"verkorten"|"kısaltmak"|"NL"|"TR"
"يُقْصِرُ"|"ق ص ر"|"يُقْصِرُ"|"ق ص ر"|"IV"|"1"|"to cease"|"ophouden"|"durdurmak"|"NL"|"TR"
"قَصَّ"|"ق ص ص"|"قَصَّ"|"ق ص ص"|"I"|"20"|"to narrate"|"vertellen"|"anlatmak"|"NL"|"TR"
"قَصَمْ"|"ق ص م"|"قَصَمْ"|"ق ص م"|"I"|"1"|"to shatter"|"verbrijzelen"|"paramparça etmek"|"NL"|"TR"
"يَنقَضَّ"|"ق ض ض"|"يَنقَضَّ"|"ق ض ض"|"VII"|"1"|"to collapse"|"ineenstorten"|"çökmek"|"NL"|"TR"
